"","Indicator","VAR","obs","years","database"
"226","Percent of PCT co-patent applications that are done with foreign regions","PCT_FREGION_PER",374,"2011, 2010, 2007, 2008, 2009, 2006","Innovation"
"227","Percent of PCT co-patent applications that are done within the country","PCT_WCOUNTRY_PER",372,"2011, 2010, 2008, 2009, 2006, 2007","Innovation"
"228","Percent of PCT co-patent applications that are done within the region","PCT_WREGION_PER",380,"2011, 2010, 2008, 2007, 2009, 2006","Innovation"
"229","R&D Expenditures Performed by the Business Sector (millions USD, constant prices, constant PPP, base year 2010)","RD_EXP_BUS_PPP",299,"2013, 2012, 2011, 2008, 2014","Innovation"
"230","R&D Expenditures Performed by the Business Sector (millions of current national currency)","RD_EXP_BUS",299,"2013, 2012, 2011, 2008, 2014","Innovation"
"231","R&D Expenditures Performed by the Government Sector (millions USD, constant prices, constant PPP, base year 2010)","RD_EXP_GOV_PPP",302,"2013, 2011, 2009, 2012, 2010, 2008, 2014, 2007","Innovation"
"232","R&D Expenditures Performed by the Government Sector (millions of current national currency)","RD_EXP_GOV",302,"2013, 2011, 2009, 2012, 2010, 2008, 2014, 2007","Innovation"
"233","R&D Expenditures Performed by the Higher Education Sector (millions USD, constant prices, constant PPP, base year 2010)","RD_EXP_HE_PPP",292,"2013, 2012, 2011, 2008, 2014","Innovation"
"234","R&D Expenditures Performed by the Higher Education Sector (millions of current national currency)","RD_EXP_HE",292,"2013, 2012, 2011, 2008, 2014","Innovation"
"235","R&D Expenditures Performed by the Private and Non-Profit Sector (millions USD, constant prices, constant PPP, base year 2010)","RD_EXP_PNP_PPP",217,"2011, 2013, 2009, 2012, 2010, 2008, 2007","Innovation"
"236","R&D Expenditures Performed by the Private and Non-Profit Sector (millions of current national currency)","RD_EXP_PNP",217,"2011, 2013, 2009, 2012, 2010, 2008, 2007","Innovation"
"237","R&D Personnel Employed by the Business Sector","RD_PER_BUS",240,"2013, 2012, 2008","Innovation"
"238","R&D Personnel Employed by the Business Sector Rate (in % of total employment)","RD_PER_BUS_RA",240,"2013, 2012, 2008","Innovation"
"239","R&D Personnel Employed by the Government Sector","RD_PER_GOV",215,"2013, 2011, 2009, 2012, 2010, 2014, 2008","Innovation"
"240","R&D Personnel Employed by the Government Sector Rate (in % of total employment)","RD_PER_GOV_RA",215,"2013, 2011, 2009, 2012, 2010, 2014, 2008","Innovation"
"241","R&D Personnel Employed by the Higher Education Sector","RD_PER_HE",210,"2013, 2012, 2011, 2008","Innovation"
"242","R&D Personnel Employed by the Higher Education Sector Rate (in % of total employment)","RD_PER_HE_RA",210,"2013, 2012, 2011, 2008","Innovation"
"243","R&D Personnel Employed by the Private and Non-Profit Sector","RD_PER_PNP",140,"2013, 2011, 2009, 2012, 2010, 2006, 2007","Innovation"
"244","R&D Personnel Employed by the Private and Non-Profit Sector Rate (in % of total employment)","RD_PER_PNP_RA",140,"2013, 2011, 2009, 2012, 2010, 2006, 2007","Innovation"
"245","R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)","RD_EXP_TOT_PPP",292,"2013, 2010, 2012, 2011, 2008, 2014","Innovation"
"246","R&D Total Expenditure (millions of current national currency)","RD_EXP_TOT",292,"2013, 2010, 2012, 2011, 2008, 2014","Innovation"
"247","R&D Total Personnel","RD_PER_TOT",256,"2013, 2012","Innovation"
"248","R&D Total Personnel Rate (in % of total employment)","RD_PER_TOT_RA",256,"2013, 2012","Innovation"
"249","Share of Labour Force with Elementary Education (in % of labour force)","EDU_LF_ISCED02_SH",386,"2014, 2013, 2012, 2010","Innovation"
"250","Share of Labour Force with Secondary Education (in % of labour force)","EDU_LF_ISCED34_SH",386,"2014, 2013, 2012, 2010","Innovation"
"251","Share of Labour Force with Tertiary Education (in % of labour force)","EDU_LF_ISCED58_SH",386,"2014, 2013, 2012, 2010","Innovation"
"252","Share of R&D Expenditures Performed by the Business Sector (in % of GDP)","RD_EXP_BUS_SH",293,"2013, 2012, 2011","Innovation"
"253","Share of R&D Expenditures Performed by the Government Sector (in % of GDP)","RD_EXP_GOV_SH",296,"2013, 2011, 2009, 2012, 2010, 2008, 2007","Innovation"
"254","Share of R&D Expenditures Performed by the Higher Education Sector (in % of GDP)","RD_EXP_HE_SH",286,"2013, 2012, 2011","Innovation"
"255","Share of R&D Expenditures Performed by the Private and Non-Profit Sector (in % of GDP)","RD_EXP_PNP_SH",211,"2011, 2013, 2009, 2012, 2010, 2008, 2007","Innovation"
"256","Share of R&D Total Expenditure (in % of GDP)","RD_EXP_TOT_SH",286,"2013, 2010, 2012, 2011","Innovation"
"257","Share of employment in high-technology manufacturing (in % of total employment)","HT_MG_EMP_T_SH",202,"2014, 2013, 2012, 2009, 2011, 2008, 2010","Innovation"
"258","Share of employment in knowledge-intensive services (as a share of total employment)","KIS_EMP_T_SH",266,"2014, 2012","Innovation"
"259","Student Enrolment Total","STU_ENR_TOTAL",361,"2012, 2010, 2013, 2014, 2011, 2009","Innovation"
